category_folder,eval_category,artifact_group,condition,filename,relative_path,source_path
01_Happy,Happy,reference,Paired GT emotion reference,GT.wav,01_Happy/GT.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/GT.wav
01_Happy,Happy,text,Transcript,transcript.txt,01_Happy/transcript.txt,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/transcript.txt
01_Happy,Happy,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,01_Happy/ret/LLM_VAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/ret/LLM_VAD_ret.wav
01_Happy,Happy,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,01_Happy/ret/VADPT_LLMVAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/ret/VADPT_LLMVAD_ret.wav
01_Happy,Happy,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,01_Happy/ret/TextAudioFFN_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/ret/TextAudioFFN_ret.wav
01_Happy,Happy,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,01_Happy/ret/TextPromptTF_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/ret/TextPromptTF_ret.wav
01_Happy,Happy,ret,Random Prompt lower bound,Random_ret.wav,01_Happy/ret/Random_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/ret/Random_ret.wav
01_Happy,Happy,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,01_Happy/gen/IndexTTS2_SpeakerOnly_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/IndexTTS2_SpeakerOnly_gen.wav
01_Happy,Happy,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,01_Happy/gen/Qwen3TTS_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/Qwen3TTS_gen.wav
01_Happy,Happy,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,01_Happy/gen/FishAudio2_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/FishAudio2_gen.wav
01_Happy,Happy,gen,Random Prompt + IndexTTS2,Random_gen.wav,01_Happy/gen/Random_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/Random_gen.wav
01_Happy,Happy,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,01_Happy/gen/LLM_VAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/LLM_VAD_gen.wav
01_Happy,Happy,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,01_Happy/gen/VADPT_LLMVAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/VADPT_LLMVAD_gen.wav
01_Happy,Happy,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,01_Happy/gen/TextAudioFFN_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/TextAudioFFN_gen.wav
01_Happy,Happy,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,01_Happy/gen/TextPromptTF_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/TextPromptTF_gen.wav
01_Happy,Happy,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,01_Happy/gen/VADPT_LLMVAD_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/VADPT_LLMVAD_Direct_gen.wav
01_Happy,Happy,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,01_Happy/gen/TextPromptTF_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/TextPromptTF_Direct_gen.wav
01_Happy,Happy,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,01_Happy/gen/IndexTTS2_GTReference_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/000_MSP-PODCAST_3231_1607/gen/IndexTTS2_GTReference_gen.wav
02_Angry,Angry,reference,Paired GT emotion reference,GT.wav,02_Angry/GT.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/GT.wav
02_Angry,Angry,text,Transcript,transcript.txt,02_Angry/transcript.txt,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/transcript.txt
02_Angry,Angry,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,02_Angry/ret/LLM_VAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/ret/LLM_VAD_ret.wav
02_Angry,Angry,ret,VAD-Transformer Retrieval,VADPT_LLMVAD_ret.wav,02_Angry/ret/VADPT_LLMVAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/ret/VADPT_LLMVAD_ret.wav
02_Angry,Angry,ret,Text-Audio FFN Retrieval,TextAudioFFN_ret.wav,02_Angry/ret/TextAudioFFN_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/ret/TextAudioFFN_ret.wav
02_Angry,Angry,ret,Text-Prompt Transformer Retrieval,TextPromptTF_ret.wav,02_Angry/ret/TextPromptTF_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/ret/TextPromptTF_ret.wav
02_Angry,Angry,ret,Random Prompt lower bound,Random_ret.wav,02_Angry/ret/Random_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/ret/Random_ret.wav
02_Angry,Angry,gen,IndexTTS2-NoEmotion,IndexTTS2_SpeakerOnly_gen.wav,02_Angry/gen/IndexTTS2_SpeakerOnly_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/IndexTTS2_SpeakerOnly_gen.wav
02_Angry,Angry,gen,Qwen3-TTS-NoEmotion,Qwen3TTS_gen.wav,02_Angry/gen/Qwen3TTS_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/Qwen3TTS_gen.wav
02_Angry,Angry,gen,FishAudio2-NoEmotion,FishAudio2_gen.wav,02_Angry/gen/FishAudio2_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/FishAudio2_gen.wav
02_Angry,Angry,gen,Random Prompt + IndexTTS2,Random_gen.wav,02_Angry/gen/Random_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/Random_gen.wav
02_Angry,Angry,gen,LLM-VAD Nearest Retrieval + IndexTTS2,LLM_VAD_gen.wav,02_Angry/gen/LLM_VAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/LLM_VAD_gen.wav
02_Angry,Angry,gen,VAD-Transformer Retrieval + IndexTTS2,VADPT_LLMVAD_gen.wav,02_Angry/gen/VADPT_LLMVAD_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/VADPT_LLMVAD_gen.wav
02_Angry,Angry,gen,Text-Audio FFN Retrieval + IndexTTS2,TextAudioFFN_gen.wav,02_Angry/gen/TextAudioFFN_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/TextAudioFFN_gen.wav
02_Angry,Angry,gen,Text-Prompt Transformer Retrieval + IndexTTS2,TextPromptTF_gen.wav,02_Angry/gen/TextPromptTF_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/TextPromptTF_gen.wav
02_Angry,Angry,gen,VAD-Transformer Direct + IndexTTS2,VADPT_LLMVAD_Direct_gen.wav,02_Angry/gen/VADPT_LLMVAD_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/VADPT_LLMVAD_Direct_gen.wav
02_Angry,Angry,gen,Text-Prompt Transformer Direct + IndexTTS2,TextPromptTF_Direct_gen.wav,02_Angry/gen/TextPromptTF_Direct_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/TextPromptTF_Direct_gen.wav
02_Angry,Angry,gen,GT Emotion Prompt + IndexTTS2 upper bound,IndexTTS2_GTReference_gen.wav,02_Angry/gen/IndexTTS2_GTReference_gen.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/029_MSP-PODCAST_4042_0190_0001/gen/IndexTTS2_GTReference_gen.wav
03_Sad,Sad,reference,Paired GT emotion reference,GT.wav,03_Sad/GT.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/GT.wav
03_Sad,Sad,text,Transcript,transcript.txt,03_Sad/transcript.txt,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/transcript.txt
03_Sad,Sad,ret,LLM-VAD Nearest Retrieval,LLM_VAD_ret.wav,03_Sad/ret/LLM_VAD_ret.wav,/Users/changliankezhan/Desktop/投稿/slt2026/pairs_96/030_MSP-PODCAST_4441_0055/ret/LLM_VAD_ret.wav
